chunk_id,paper_id,chunk_text
CHK_EVAL_0,PPR_fcc15de6,"Title: Plasma Serotonin Levels and Depression Scores in Informal Caregivers of Patients with Dementia and without Dementia: A Systematic Review
Abstract: This study aims to compare depression levels and plasma serotonin concentrations between dementia and non-dementia caregivers. A systematic review was conducted using PRISMA guidelines."
CHK_EVAL_1,PPR_fcc15de6,"Nine primary observational studies met the inclusion criteria. Most studies demonstrated higher depression levels among dementia caregivers compared to non-dementia caregivers. One study showed lower plasma serotonin associated with higher depressive scores. Dementia caregivers exhibit greater depressive symptoms than non-dementia caregivers, potentially linked to caregiving burden and serotonin imbalance."
CHK_EVAL_2,PPR_52eb6bd9,"Title: Early vs. Late Initiation of Hemodialysis: Early Initiation as a Life-Saving Option in Stage III Leptospirosis Induced AKI
Abstract: Leptospirosis is a zoonotic disease endemic in tropical regions with a high burden among low-income populations. Its clinical spectrum ranges from mild illness to severe Weil’s disease, which may involve multiple organs with common and severe complication is acute kidney injury (AKI) with no specific therapy exists. In this report, we describe how early hemodialysis may improve outcomes. A 60-year-old man presented with a 10-day history of fever, calf pain, jaundice, decreased urinary frequency, and proteinuria. Laboratory tests revealed thrombocytopenia, leukocytosis, elevated SGOT and SGPT levels, hyperbilirubinemia, and azotemia. Leptospira IgM was positive. Urinalysis demonstrated proteinuria and bilirubinuria."
CHK_EVAL_3,PPR_52eb6bd9,"The patient’s Modified Faine’s Criteria score was 34, and his SOFA score was 11. The patient was diagnosed with Weil's disease with AKI III complicated by sepsis. The furosemide stress test was administered to the patient but the results were not favorable, leading to the initiation of hemodialysis. Early initiation of hemodialysis in patients with leptospirosis induced AKI provides favorable immediate outcome and prevents them from falling into uremic syndrome leading to mortality."
CHK_EVAL_4,PPR_d76ba0d2,"Title: Exergame safety in geriatric acute ward: Clinical Research - Cardiovascular response and safety of virtual reality exergaming in an acute care setting
Abstract: This pre-post study used the Oculus Meta Quest 2® platform in 32 elderly participants. Each completed a single exergame session."
CHK_EVAL_5,PPR_d76ba0d2,"Pre- and post-session assessments included measurements of heart rate, systolic blood pressure, and diastolic blood pressure. Cardiopulmonary sentinel signs were monitored thoroughly. Post-exergame HR was significantly higher than baseline, with most participants experiencing light-intensity activities. No sentinel events occurred."
CHK_EVAL_6,PPR_266c2319,"Title: Disruption of spatiotemporal clustering in dengue cases by wMel Wolbachia in Yogyakarta, Indonesia. Abstract: Dengue exhibits focal clustering in households and neighborhoods, driven by local mosquito population dynamics, human population immunity, and fine scale human and mosquito movement. We tested the hypothesis that spatiotemporal clustering of homotypic dengue cases is disrupted by introduction of the arbovirus-blocking bacterium Wolbachia (wMel-strain) into the Aedes aegypti mosquito population. We analysed 318 serotyped and geolocated dengue cases (and 5921 test-negative controls) from a randomized controlled trial in Yogyakarta, Indonesia of wMel deployments. We find evidence of spatial clustering up to 300 m among the 265 dengue cases (3083 controls) in the untreated trial arm. Participant pairs enrolled within 30 days and 50 m had a 4.7-fold increase (compared to 95% CI on permutation-based null distribution: 0.1, 1.2) in the odds of being homotypic (i.e. potentially transmission-related) as compared to pairs occurring at any distance."
CHK_EVAL_7,PPR_266c2319,"In contrast, we find no evidence of spatiotemporal clustering among the 53 dengue cases (2838 controls) resident in the wMel-treated arm. Introgression of wMel Wolbachia into Aedes aegypti mosquito populations interrupts focal dengue virus transmission leading to reduced case incidence; the true intervention effect may be greater than the 77% efficacy measured in the primary analysis of the Yogyakarta trial."
CHK_EVAL_8,PPR_ccbb1612,"Title: Impact of a spatial repellent product on Anopheles and non-Anopheles mosquitoes in Sumba, Indonesia. Abstract: The East Nusa Tenggara province, Indonesia, contributed to 5% of malaria cases nationally in 2020, with other mosquito-borne diseases, such as dengue and filariasis also being endemic. Monitoring of spatial and temporal vector species compositions and bionomic traits is an efficient method for generating evidence towards intervention strategy optimization and meeting disease elimination goals. In this study, the impact of a spatial repellent (SR) on human biting mosquitoes was evaluated as part of a parent cluster-randomized, double-blinded, placebo-controlled trial, in Sumba, East Nusa Tenggara. A 10-month (June 2015-March 2016) baseline study was followed by a 24-month intervention period (April 2016 to April 2018), where half the clusters were randomly assigned either a passive transfluthrin emanator or a placebo control."
CHK_EVAL_9,PPR_ccbb1612,Human-landing mosquito catches documented a reduction in landing rates of Anopheles and non-Anopheles mosquitoes in the intervention clusters compared to control clusters.
