No.,Query,Query Type,Expected Evidence / Paper,MVP Answer,Sources,Similarity Score(s),Notes
1,What are the outcomes of early hemodialysis initiation in patients with stage III leptospirosis-induced acute kidney injury (AKI)?,Intervention / Treatment Effectiveness,Early vs. Late Initiation of Hemodialysis: Early Initiation as a Life-Saving Option in Stage III Leptospirosis Induced AKI — Case report evaluating outcomes of early hemodialysis in stage III leptospirosis-associated AKI.,,,,Double references
2,Does starting renal replacement therapy early improve survival and prevent uremic complications in severe leptospirosis-associated kidney failure?,Intervention / Treatment Effectiveness,Early vs. Late Initiation of Hemodialysis: Early Initiation as a Life-Saving Option in Stage III Leptospirosis Induced AKI — Evidence on early dialysis preventing uremic syndrome and improving immediate outcomes.,,,,semantic drift???
3,Apakah cuci darah lebih awal dapat membantu pasien leptospirosis berat yang mengalami gagal ginjal akut?,Intervention / Treatment Effectiveness,Early vs. Late Initiation of Hemodialysis: Early Initiation as a Life-Saving Option in Stage III Leptospirosis Induced AKI — Laporan kasus mengenai manfaat hemodialisis dini pada AKI akibat leptospirosis berat.,,,,
4,What strategies have been studied for reducing dengue transmission in Indonesia?,Public Health / Prevention,"Disruption of Spatiotemporal Clustering in Dengue Cases by wMel Wolbachia in Yogyakarta, Indonesia — Randomized controlled trial evidence showing Wolbachia deployment reduces dengue transmission.",,,,
5,"What is the effect of combining acupuncture therapy and turmeric (Curcuma longa Linn) on total protein, albumin, and globulin levels in osteoarthritis patients?",Intervention / Complementary Medicine,"Effectiveness of Combined Acupuncture Therapy and Turmeric (Curcuma longa Linn) on Blood Protein Profile in Osteoarthritis Patients — Clinical study assessing total protein, albumin, and globulin changes after combined therapy.",,,,
6,Does adding turmeric herbal treatment to acupuncture improve blood protein profiles compared with acupuncture alone in patients with osteoarthritis?,Comparative Intervention,Effectiveness of Combined Acupuncture Therapy and Turmeric (Curcuma longa Linn) on Blood Protein Profile in Osteoarthritis Patients — Comparative evaluation of acupuncture plus turmeric versus acupuncture treatment.,,,,
7,Apakah kombinasi akupunktur dan kunyit dapat membantu memperbaiki kondisi penderita osteoartritis berdasarkan hasil pemeriksaan protein darah?,Intervention / Complementary Medicine,Effectiveness of Combined Acupuncture Therapy and Turmeric (Curcuma longa Linn) on Blood Protein Profile in Osteoarthritis Patients — Studi klinis mengenai perubahan profil protein darah pada pasien osteoartritis.,,,,
8,What are the challenges and interventions for tuberculosis control and treatment success in Indonesia?,Public Health / Health System,"Challenges and Strategies of Implementing Active Case Finding for Tuberculosis: A Qualitative Study at a High-Burden Primary Healthcare Center, Yogyakarta, Indonesia + Enhancing Tuberculosis Treatment Success: Gender Dynamics and Designated Drug Supervisors in Tasikmalaya, Indonesia — Studies examining barriers and interventions for TB control and treatment success.",,,,
9,How does HELLP syndrome affect maternal and neonatal outcomes among women with preeclampsia in Indonesia?,Prognosis / Maternal-Fetal Outcomes,HELLP Syndrome as a Major Contributor to Adverse Maternal and Neonatal Outcomes Among Preeclamptic Women: Findings from a Multicenter Retrospective Cohort Study — Cohort study evaluating maternal and neonatal outcomes associated with HELLP syndrome.,,,,
10,"What additional risks of maternal complications, preterm birth, fetal death, and neonatal mortality are associated with HELLP syndrome compared with preeclampsia alone?",Comparative Risk / Prognosis,HELLP Syndrome as a Major Contributor to Adverse Maternal and Neonatal Outcomes Among Preeclamptic Women: Findings from a Multicenter Retrospective Cohort Study — Comparative analysis of HELLP versus preeclampsia without HELLP.,,,,
11,Apakah ibu hamil dengan preeklamsia yang mengalami sindrom HELLP memiliki risiko lebih tinggi mengalami komplikasi serius bagi ibu dan bayinya?,Prognosis / Risk Factor,HELLP Syndrome as a Major Contributor to Adverse Maternal and Neonatal Outcomes Among Preeclamptic Women: Findings from a Multicenter Retrospective Cohort Study — Studi kohort mengenai peningkatan risiko komplikasi maternal dan neonatal.,,,,
12,How does diabetes affect health outcomes and its relationship with other diseases in Indonesia?,Disease Burden / Association,Diabetes Mellitus is Strongly Associated with Tuberculosis in Indonesia + The Effect of Type 2 Diabetes Mellitus on the Presentation and Treatment Response of Pulmonary Tuberculosis — Studies examining diabetes-related comorbidity and health outcomes.,,,,
13,"Does stunting modify the relationship between early childhood caries, salivary factors, and oral health-related quality of life among preschool children?",Association / Effect Modification,Does Stunting Modify the Impact of Salivary Factors and Early Childhood Caries on Oral Health-Related Quality of Life? — Analytical study evaluating interaction effects of stunting and oral health variables.,,,,
14,"How do stunting status, dental caries severity, salivary pH, and buffering capacity interact in influencing oral health quality of life in young children?",Association / Multifactorial Analysis,"Does Stunting Modify the Impact of Salivary Factors and Early Childhood Caries on Oral Health-Related Quality of Life? — Multifactorial analysis of stunting, salivary characteristics, caries, and OHRQoL.",,,,
15,Apakah anak yang mengalami stunting lebih rentan mengalami gangguan kualitas hidup akibat gigi berlubang dan kondisi air liur yang kurang baik?,Association / Risk Factor,"Does Stunting Modify the Impact of Salivary Factors and Early Childhood Caries on Oral Health-Related Quality of Life? — Studi hubungan stunting, karies gigi, faktor saliva, dan kualitas hidup terkait kesehatan mulut.",,,,
16,What evidence exists regarding maternal health and pregnancy-related complications?,Evidence Summary / Maternal Health,Understanding the Determinants of Maternal Mortality: An Observational Study Using the Indonesian Population Census — Population-based evidence on maternal health outcomes and pregnancy-related complications.,,,,
17,How should anticoagulation be managed perioperatively in a pregnant patient with a mechanical mitral valve undergoing cesarean section?,Clinical Management / Guideline,"Anticoagulant Management of Mechanical Heart Valve Patients during Perioperative Surgery: A Case Report — Case-based evidence on perioperative anticoagulation management, warfarin discontinuation, and heparin bridging.",,,,
18,What are the outcomes of temporarily discontinuing warfarin and using heparin bridging therapy for surgery in patients with mechanical heart valves?,Treatment Safety / Clinical Outcomes,Anticoagulant Management of Mechanical Heart Valve Patients during Perioperative Surgery: A Case Report — Clinical outcomes of temporary warfarin interruption with bridging anticoagulation.,,,,
