query_id,query,relevant_papers,category
1,What are the outcomes of early hemodialysis initiation in patients with stage III leptospirosis-induced acute kidney injury (AKI)?,PPR_52eb6bd9,direct
2,Does starting renal replacement therapy early improve survival and prevent uremic complications in severe leptospirosis-associated kidney failure?,PPR_52eb6bd9,paraphrase
3,Apakah cuci darah lebih awal dapat membantu pasien leptospirosis berat yang mengalami gagal ginjal akut?,PPR_52eb6bd9,user_style
4,What strategies have been studied for reducing dengue transmission in Indonesia?,"""PPR_266c2319"", ""PPR_ccbb1612"", ""PPR_8c18c874"", ""PPR_10ed5dac""",multi_papers
5,"What is the effect of combining acupuncture therapy and turmeric (Curcuma longa Linn) on total protein, albumin, and globulin levels in osteoarthritis patients?",PPR_84933f22,direct
6,Does adding turmeric herbal treatment to acupuncture improve blood protein profiles compared with acupuncture alone in patients with osteoarthritis?,PPR_84933f22,paraphrase
7,Apakah kombinasi akupunktur dan kunyit dapat membantu memperbaiki kondisi penderita osteoartritis berdasarkan hasil pemeriksaan protein darah?,PPR_84933f22,user_style
8,What are the challenges and interventions for tuberculosis control and treatment success in Indonesia?,"""PPR_c58e2d63"", ""PPR_2be79c3c"", ""PPR_6719d457""",multi_papers
9,How does HELLP syndrome affect maternal and neonatal outcomes among women with preeclampsia in Indonesia?,PPR_3fe971e2,direct
10,"What additional risks of maternal complications, preterm birth, fetal death, and neonatal mortality are associated with HELLP syndrome compared with preeclampsia alone?",PPR_3fe971e2,paraphrase
11,Apakah ibu hamil dengan preeklamsia yang mengalami sindrom HELLP memiliki risiko lebih tinggi mengalami komplikasi serius bagi ibu dan bayinya?,PPR_3fe971e2,user_style
12,How does diabetes affect health outcomes and its relationship with other diseases in Indonesia?,"""PPR_2620bb35"", ""PPR_0df42fce"", ""PPR_c0cfeb7e""",multi_papers
13,"Does stunting modify the relationship between early childhood caries, salivary factors, and oral health-related quality of life among preschool children?",PPR_97f3e130,direct
14,"How do stunting status, dental caries severity, salivary pH, and buffering capacity interact in influencing oral health quality of life in young children?",PPR_97f3e130,paraphrase
